seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
759,AAAAAAAAAAAAAAAAAAAFCEADGCAAEB5GDAXBA4Y_192,4,2,2,97.4326742700032,15,0.2984709310531616,0.7015290689468384,0.8215826988220215,0.5286380660533905,0.9208430480957032,0.3146574610471725,0.6853417801856995,0.809574057161808,0.5196919876337052,0.9152067565917968
760,AAAAAAAAAAAAAAAAAAAFBMABG6AAUYQAB3IAGUQ_192,4,2,2,52.59022178899977,15,0.1359292829036712,0.8640707170963288,0.9265204036235808,0.6936309254169464,0.962486572265625,0.1217782571911811,0.8782037508487701,0.9347223708033562,0.7009655049443245,0.9654152297973632
765,AAAAAAAAAAAAAAAAAGLCA4AD2AJLXKQAMLIABBQ_192,4,2,2,196.8401878490004,15,0.1522680819034576,0.8477319180965424,0.916626764535904,0.6331004571914672,0.9563243103027343,0.1378363865613937,0.8621629455685615,0.9253539252281188,0.6498387655615807,0.960155563354492
769,AAAAAAAAAAAAAAAAAAAPYUPQWGAB7FQAOZZVGVI_192,4,2,2,958.2130740580031,15,0.7870768654346466,0.2129231345653534,0.3503506982326507,0.1817467045783996,0.229762954711914,0.7868104135990143,0.2131890422105789,0.3507207524776459,0.1819408711791038,0.2299950790405273
770,AAAAAAAAAADADD45SU3C6MAAKOABVFRCS3IAGVY_192,4,2,3,259.7220623070025,15,0.7807632434368134,0.2192367565631866,0.3590456712245941,0.1842845451831817,0.2356107330322265,0.7882797780632973,0.2117116582393646,0.3487354519963264,0.1789314496517181,0.2285331344604492
772,AAAAAAAAAAAAAAAAAOBCKHQM22FFQLX2NYXU2QY_192,4,2,2,626.9203385910005,15,0.1375419092178344,0.8624580907821655,0.9256322777271272,0.6855828642845154,0.9613491058349608,0.1304159763455391,0.8695557069778442,0.9296221190690994,0.6894400531053543,0.962280216217041
797,EE64YAHFZODILAACVMBV6MKZPSAAXHQAHKW7HFQ_192,4,2,4,412.0835241399982,15,0.792539370059967,0.2074606299400329,0.3429740345478058,0.1721675908565521,0.1996646118164062,0.7934406900405884,0.2065523469448089,0.3416808384656906,0.1715167906880378,0.1988476371765136
811,AAAAAAAAAAAAAAAAAAAN24ABQGXMYCUARLJUH7A_192,4,2,2,116.9068585540008,15,0.1633145594596863,0.8366854405403137,0.9101523065567017,0.671329060792923,0.9551336669921876,0.1692832550406456,0.8307128947973251,0.906482688486576,0.6657216572761535,0.9527946090698244
813,AAAAAAAAAAAAAAAAAAAP25YDKANMEEQABKR7ARQ_192,4,2,2,178.1694504879997,15,0.1690194821357727,0.8309805178642273,0.9072200214862824,0.6309992349147797,0.9531293487548828,0.1862514263391494,0.8137481293082237,0.8964146804809571,0.6211255359649658,0.9486582374572754
814,AAEAZE6UNAB2X2SMAQAP2MPQKD4JRNQADBYADFI_192,4,2,4,109.1432831159982,15,0.1855949473381042,0.8144050526618958,0.8970845615863801,0.6525221240520477,0.9493229675292968,0.184745389521122,0.8152529963850975,0.8971150234341622,0.6501064559817314,0.9494313049316406
